Year,Month,FX,Demand,ADR,Country
2016,10,1.1,14967570,119.5430643,Germany
2016,11,1.08,13944418,113.0876264,Germany
2016,12,1.05,12364176,106.0042398,Germany
2017,1,1.06,11195494,111.0483347,Germany
2017,2,1.06,11505086,111.9048503,Germany
2017,3,1.07,13884387,118.5314233,Germany
2017,4,1.07,13221216,108.6827605,Germany
2017,5,1.11,15056249,122.6974401,Germany
2017,6,1.12,14313120,111.3341877,Germany
2017,7,1.15,14572721,107.7521518,Germany
2017,8,1.18,14221305,102.2246963,Germany
2017,9,1.19,15792852,135.672962,Germany
2017,10,1.17,14976964,123.0088473,Germany
2017,11,1.17,14018266,115.8453173,Germany
2017,12,1.18,12757243,108.7131451,Germany
2018,1,1.22,11773027,110.9041219,Germany
2018,2,1.23,11920532,112.7834453,Germany
2018,3,1.23,13990553,115.3312553,Germany
2018,4,1.23,13927903,116.4108535,Germany
2018,5,1.18,14103902,114.4825612,Germany
2018,6,1.17,15391056,118.6668055,Germany
2018,7,1.17,14787307,106.5795693,Germany
2018,8,1.15,14915241,108.4101469,Germany
2018,9,1.17,15961902,140.4201163,Germany
2018,10,1.15,15484483,128.058493,Germany
2018,11,1.14,14508103,117.042419,Germany
2018,12,1.14,13171821,110.4658956,Germany
2019,1,1.14,12194984,114.9621078,Germany
2019,2,1.14,12223132,114.2147717,Germany
2019,3,1.13,14441756,118.6456795,Germany
2019,4,1.12,13899401,120.2318573,Germany
2019,5,1.12,15732901,120.7426859,Germany
2019,6,1.13,15191804,118.5296563,Germany
2019,7,1.12,15445506,106.4941156,Germany
2012,1,0.012993,12175839,94.62121386,Japan
2012,2,0.012757,12301622,91.40594068,Japan
2012,3,0.01213,14285212,98.35024344,Japan
2012,4,0.01229,13677324,100.3634766,Japan
2012,5,0.012543,13763309,101.8236375,Japan
2012,6,0.01262,13453173,94.1807416,Japan
2012,7,0.012646,14141413,102.1216027,Japan
2012,8,0.012707,15269332,114.1920453,Japan
2012,9,0.012789,14149931,99.66126826,Japan
2012,10,0.012674,14586293,106.9546547,Japan
2012,11,0.012361,14369959,105.4100376,Japan
2012,12,0.011967,13880824,108.6352129,Japan
2013,1,0.011241,12491200,95.14901158,Japan
2013,2,0.010749,13217891,95.14338685,Japan
2013,3,0.01056,14914775,100.2186901,Japan
2013,4,0.010226,14370552,102.4306719,Japan
2013,5,0.009911,14527182,104.0253843,Japan
2013,6,0.010283,14159283,96.84076812,Japan
2013,7,0.010026,15016384,105.1033905,Japan
2013,8,0.010221,16069481,118.7615171,Japan
2013,9,0.010089,14755313,103.4783619,Japan
2013,10,0.010223,15568428,105.2458837,Japan
2013,11,0.010003,15177426,111.0883561,Japan
2013,12,0.009666,14492504,111.5136834,Japan
2014,1,0.00962,13238809,100.2978553,Japan
2014,2,0.00979,13618685,99.17735968,Japan
2014,3,0.009777,15374944,107.1765837,Japan
2014,4,0.009759,14595716,108.3217045,Japan
2014,5,0.00982,14937445,109.7430224,Japan
2014,6,0.009798,14226635,98.78211067,Japan
2014,7,0.009834,15444832,111.3099858,Japan
2014,8,0.00972,16027436,125.8456283,Japan
2014,9,0.009328,15107836,106.1349047,Japan
2014,10,0.009264,16150937,112.2795797,Japan
2014,11,0.008625,15501680,118.855222,Japan
2014,12,0.008364,15150440,117.6066616,Japan
2015,1,0.008456,13770341,108.4423164,Japan
2015,2,0.008425,14217289,109.4958719,Japan
2015,3,0.00831,15889487,116.9216113,Japan
2015,4,0.00837,15115632,122.3202436,Japan
2015,5,0.008287,15517515,124.4460838,Japan
2015,6,0.008076,14909253,110.3515042,Japan
2015,7,0.008113,16028840,127.0216928,Japan
2015,8,0.008117,16401260,143.281805,Japan
2015,9,0.008324,15384529,126.842117,Japan
2015,10,0.008324,16361119,129.0796362,Japan
2015,11,0.00816,15394867,130.805978,Japan
2015,12,0.008223,15237800,132.6459115,Japan
2016,1,0.008443,14055254,117.7099406,Japan
2016,2,0.008717,14034431,121.1553105,Japan
2016,3,0.008852,15895218,129.0946655,Japan
2016,4,0.00911,15274420,134.8255526,Japan
2016,5,0.009198,15112221,127.3811444,Japan
2016,6,0.009482,14990941,116.9383574,Japan
2016,7,0.009631,16027864,132.7304025,Japan
2016,8,0.009879,16436595,143.8760214,Japan
2016,9,0.009795,15531206,123.0171301,Japan
2016,10,0.009647,16443640,131.4910563,Japan
2016,11,0.009225,15625714,128.9436012,Japan
2016,12,0.008617,15598330,134.8327406,Japan
2017,1,0.00869,14380200,122.1013288,Japan
2017,2,0.00886,14462053,119.1470972,Japan
2017,3,0.008852,16349136,130.1616297,Japan
2017,4,0.00908,16010560,137.1733789,Japan
2017,5,0.008911,15980234,131.2070338,Japan
2017,6,0.009021,15485200,116.8533137,Japan
2017,7,0.008903,16490650,133.8212652,Japan
2017,8,0.009108,17077194,146.0676843,Japan
2017,9,0.009036,16126637,124.1904111,Japan
2017,10,0.008855,17050493,133.8501173,Japan
2017,11,0.008866,16527464,133.9947141,Japan
2017,12,0.008858,16088309,136.806012,Japan
2018,1,0.009016,14693210,121.0451725,Japan
2018,2,0.009266,15069171,129.4071668,Japan
2018,3,0.009432,16789360,133.1675571,Japan
2018,4,0.009295,16537408,141.6176001,Japan
2018,5,0.009119,16499103,131.0156163,Japan
2018,6,0.009087,16244096,123.0224002,Japan
2018,7,0.008975,16990485,135.1263856,Japan
2018,8,0.009009,17688205,147.8854584,Japan
2018,9,0.008925,16080725,129.6517058,Japan
2018,10,0.008873,17528136,134.455596,Japan
2018,11,0.008826,17313865,137.817063,Japan
2018,12,0.00892,16821345,139.5709428,Japan
2019,1,0.009173,15373574,123.5077708,Japan
2019,2,0.009063,15569801,128.5284302,Japan
2019,3,0.008999,17597559,134.6090906,Japan
2019,4,0.008953,17320654,149.3363137,Japan
2019,5,0.009091,17300416,135.3451921,Japan
2019,6,0.009253,16750902,127.36091,Japan
2019,7,0.009238,17577731,135.2294216,Japan
